Source Section	Operation	Category	Type	Invocations
NBody.ns pos=5065 len=16	*	AnyNode BasicPrimitiveOperation OpArithmetic	TOTAL	1
NBody.ns pos=5292 len=18	*	AnyNode BasicPrimitiveOperation OpArithmetic	float	1
NBody.ns pos=5292 len=18	*	AnyNode BasicPrimitiveOperation OpArithmetic	TOTAL	1
NBody.ns pos=5351 len=18	*	AnyNode BasicPrimitiveOperation OpArithmetic	float	1
NBody.ns pos=5351 len=18	*	AnyNode BasicPrimitiveOperation OpArithmetic	TOTAL	1
NBody.ns pos=5410 len=18	*	AnyNode BasicPrimitiveOperation OpArithmetic	float	1
NBody.ns pos=5410 len=18	*	AnyNode BasicPrimitiveOperation OpArithmetic	TOTAL	1
NBody.ns pos=5469 len=16	*	AnyNode BasicPrimitiveOperation OpArithmetic	float	1
NBody.ns pos=5469 len=16	*	AnyNode BasicPrimitiveOperation OpArithmetic	TOTAL	1
Permute.ns pos=1501 len=3	+	AnyNode BasicPrimitiveOperation OpArithmetic	int	866000
Permute.ns pos=1501 len=3	+	AnyNode BasicPrimitiveOperation OpArithmetic	TOTAL	866000
Permute.ns pos=1515 len=4	<>	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	int	504000
Permute.ns pos=1515 len=4	<>	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	int	362000
Permute.ns pos=1515 len=4	<>	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	TOTAL	866000
Permute.ns pos=1565 len=3	-	AnyNode BasicPrimitiveOperation OpArithmetic	int	362000
Permute.ns pos=1565 len=3	-	AnyNode BasicPrimitiveOperation OpArithmetic	TOTAL	362000
Permute.ns pos=1665 len=3	-	AnyNode BasicPrimitiveOperation OpArithmetic	int	503900
Permute.ns pos=1665 len=3	-	AnyNode BasicPrimitiveOperation OpArithmetic	TOTAL	503900
Permute.ns pos=1770 len=5	at:	AnyNode ArrayRead BasicPrimitiveOperation	ref	1007799
Permute.ns pos=1770 len=5	at:	AnyNode ArrayRead BasicPrimitiveOperation	TOTAL	1007799
Permute.ns pos=1787 len=20	at:put:	AnyNode ArrayWrite BasicPrimitiveOperation StatementTag	ref	1007799
Permute.ns pos=1787 len=20	at:put:	AnyNode ArrayWrite BasicPrimitiveOperation StatementTag	TOTAL	1007799
Permute.ns pos=1801 len=5	at:	AnyNode ArrayRead BasicPrimitiveOperation	ref	1007799
Permute.ns pos=1801 len=5	at:	AnyNode ArrayRead BasicPrimitiveOperation	TOTAL	1007799
Permute.ns pos=1819 len=14	at:put:	AnyNode ArrayWrite BasicPrimitiveOperation StatementTag	ref	1007799
Permute.ns pos=1819 len=14	at:put:	AnyNode ArrayWrite BasicPrimitiveOperation StatementTag	TOTAL	1007799
Platform.ns pos=1552 len=4	size	AnyNode BasicPrimitiveOperation OpLength PrimitiveArgument	TOTAL	0
Platform.ns pos=1557 len=3	<	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	int	1
Platform.ns pos=1557 len=3	<	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	TOTAL	1
Platform.ns pos=1681 len=5	at:	AnyNode ArrayRead BasicPrimitiveOperation	TOTAL	0
Queens.ns pos=1399 len=16	&&	AnyNode BasicPrimitiveOperation OpComparison	bool	1000
Queens.ns pos=1399 len=16	&&	AnyNode BasicPrimitiveOperation OpComparison	TOTAL	1000
Queens.ns pos=1848 len=12	at:put:	AnyNode ArrayWrite BasicPrimitiveOperation StatementTag	int	112999
Queens.ns pos=1848 len=12	at:put:	AnyNode ArrayWrite BasicPrimitiveOperation StatementTag	TOTAL	112999
Queens.ns pos=1923 len=3	=	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	int	112000
Queens.ns pos=1923 len=3	=	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	int	1000
Queens.ns pos=1923 len=3	=	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	TOTAL	113000
Queens.ns pos=1979 len=3	+	AnyNode BasicPrimitiveOperation OpArithmetic	int	112000
Queens.ns pos=1979 len=3	+	AnyNode BasicPrimitiveOperation OpArithmetic	TOTAL	112000
Queens.ns pos=2114 len=5	at:	AnyNode ArrayRead BasicPrimitiveOperation PrimitiveArgument	bool	540000
Queens.ns pos=2114 len=5	at:	AnyNode ArrayRead BasicPrimitiveOperation PrimitiveArgument	bool	335999
Queens.ns pos=2114 len=5	at:	AnyNode ArrayRead BasicPrimitiveOperation PrimitiveArgument	TOTAL	875999
Queens.ns pos=2121 len=23	&&	AnyNode BasicPrimitiveOperation OpComparison PrimitiveArgument	bool	200000
Queens.ns pos=2121 len=23	&&	AnyNode BasicPrimitiveOperation OpComparison PrimitiveArgument	bool	340000
Queens.ns pos=2121 len=23	&&	AnyNode BasicPrimitiveOperation OpComparison PrimitiveArgument	bool	96000
Queens.ns pos=2121 len=23	&&	AnyNode BasicPrimitiveOperation OpComparison PrimitiveArgument	bool	240000
Queens.ns pos=2121 len=23	&&	AnyNode BasicPrimitiveOperation OpComparison PrimitiveArgument	TOTAL	876000
Queens.ns pos=2134 len=9	at:	AnyNode ArrayRead BasicPrimitiveOperation PrimitiveArgument	bool	296000
Queens.ns pos=2134 len=9	at:	AnyNode ArrayRead BasicPrimitiveOperation PrimitiveArgument	bool	579999
Queens.ns pos=2134 len=9	at:	AnyNode ArrayRead BasicPrimitiveOperation PrimitiveArgument	TOTAL	875999
Queens.ns pos=2140 len=3	+	AnyNode BasicPrimitiveOperation OpArithmetic	int	876000
Queens.ns pos=2140 len=3	+	AnyNode BasicPrimitiveOperation OpArithmetic	TOTAL	876000
Queens.ns pos=2145 len=27	&&	AnyNode BasicPrimitiveOperation OpComparison RootTag StatementTag	bool	250000
Queens.ns pos=2145 len=27	&&	AnyNode BasicPrimitiveOperation OpComparison RootTag StatementTag	bool	386000
Queens.ns pos=2145 len=27	&&	AnyNode BasicPrimitiveOperation OpComparison RootTag StatementTag	bool	127000
Queens.ns pos=2145 len=27	&&	AnyNode BasicPrimitiveOperation OpComparison RootTag StatementTag	bool	113000
Queens.ns pos=2145 len=27	&&	AnyNode BasicPrimitiveOperation OpComparison RootTag StatementTag	TOTAL	876000
Queens.ns pos=2158 len=13	at:	AnyNode ArrayRead BasicPrimitiveOperation PrimitiveArgument	bool	377000
Queens.ns pos=2158 len=13	at:	AnyNode ArrayRead BasicPrimitiveOperation PrimitiveArgument	bool	498999
Queens.ns pos=2158 len=13	at:	AnyNode ArrayRead BasicPrimitiveOperation PrimitiveArgument	TOTAL	875999
Queens.ns pos=2164 len=3	-	AnyNode BasicPrimitiveOperation OpArithmetic PrimitiveArgument	int	876000
Queens.ns pos=2164 len=3	-	AnyNode BasicPrimitiveOperation OpArithmetic PrimitiveArgument	TOTAL	876000
Queens.ns pos=2168 len=3	+	AnyNode BasicPrimitiveOperation OpArithmetic	int	876000
Queens.ns pos=2168 len=3	+	AnyNode BasicPrimitiveOperation OpArithmetic	TOTAL	876000
Queens.ns pos=2227 len=20	at:put:	AnyNode ArrayWrite BasicPrimitiveOperation StatementTag	bool	112999
Queens.ns pos=2227 len=20	at:put:	AnyNode ArrayWrite BasicPrimitiveOperation StatementTag	bool	105000
Queens.ns pos=2227 len=20	at:put:	AnyNode ArrayWrite BasicPrimitiveOperation StatementTag	TOTAL	217999
Queens.ns pos=2264 len=20	at:put:	AnyNode ArrayWrite BasicPrimitiveOperation StatementTag	bool	112999
Queens.ns pos=2264 len=20	at:put:	AnyNode ArrayWrite BasicPrimitiveOperation StatementTag	bool	105000
Queens.ns pos=2264 len=20	at:put:	AnyNode ArrayWrite BasicPrimitiveOperation StatementTag	TOTAL	217999
Queens.ns pos=2270 len=3	+	AnyNode BasicPrimitiveOperation OpArithmetic	int	218000
Queens.ns pos=2270 len=3	+	AnyNode BasicPrimitiveOperation OpArithmetic	TOTAL	218000
Queens.ns pos=2301 len=20	at:put:	AnyNode ArrayWrite BasicPrimitiveOperation StatementTag	bool	112999
Queens.ns pos=2301 len=20	at:put:	AnyNode ArrayWrite BasicPrimitiveOperation StatementTag	bool	105000
Queens.ns pos=2301 len=20	at:put:	AnyNode ArrayWrite BasicPrimitiveOperation StatementTag	TOTAL	217999
Queens.ns pos=2307 len=3	-	AnyNode BasicPrimitiveOperation OpArithmetic PrimitiveArgument	int	218000
Queens.ns pos=2307 len=3	-	AnyNode BasicPrimitiveOperation OpArithmetic PrimitiveArgument	TOTAL	218000
Queens.ns pos=2311 len=3	+	AnyNode BasicPrimitiveOperation OpArithmetic	int	218000
Queens.ns pos=2311 len=3	+	AnyNode BasicPrimitiveOperation OpArithmetic	TOTAL	218000
Richards.ns pos=1217 len=15	==	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	ref	9296
Richards.ns pos=1217 len=15	==	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	ref	18588
Richards.ns pos=1217 len=15	==	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	TOTAL	27884
Richards.ns pos=1262 len=32	==	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	ref	9294
Richards.ns pos=1262 len=32	==	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	ref	9294
Richards.ns pos=1262 len=32	==	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	TOTAL	18588
Richards.ns pos=2019 len=7	==	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	ref	11627
Richards.ns pos=2019 len=7	==	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	ref	11625
Richards.ns pos=2019 len=7	==	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	TOTAL	23252
Richards.ns pos=2068 len=11	=	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	int	9300
Richards.ns pos=2068 len=11	=	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	int	2327
Richards.ns pos=2068 len=11	=	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	TOTAL	11627
Richards.ns pos=2207 len=29	==	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	ref	20310
Richards.ns pos=2207 len=29	==	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	ref	2942
Richards.ns pos=2207 len=29	==	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	TOTAL	23252
Richards.ns pos=2392 len=3	>	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	int	17985
Richards.ns pos=2392 len=3	>	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	int	2325
Richards.ns pos=2392 len=3	>	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	TOTAL	20310
Richards.ns pos=2624 len=33	==	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	ref	9300
Richards.ns pos=2624 len=33	==	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	ref	8685
Richards.ns pos=2624 len=33	==	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	TOTAL	17985
Richards.ns pos=2859 len=9	at:	AnyNode ArrayRead BasicPrimitiveOperation	int	9299
Richards.ns pos=2859 len=9	at:	AnyNode ArrayRead BasicPrimitiveOperation	TOTAL	9299
Richards.ns pos=2920 len=3	+	AnyNode BasicPrimitiveOperation OpArithmetic	int	9300
Richards.ns pos=2920 len=3	+	AnyNode BasicPrimitiveOperation OpArithmetic	TOTAL	9300
Richards.ns pos=3391 len=3	-	AnyNode BasicPrimitiveOperation OpArithmetic	int	10000
Richards.ns pos=3391 len=3	-	AnyNode BasicPrimitiveOperation OpArithmetic	TOTAL	10000
Richards.ns pos=3411 len=12	=	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	int	9999
Richards.ns pos=3411 len=12	=	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	int	1
Richards.ns pos=3411 len=12	=	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	TOTAL	10000
Richards.ns pos=3511 len=20	=	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	int	4992
Richards.ns pos=3511 len=20	=	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	int	5007
Richards.ns pos=3511 len=20	=	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	TOTAL	9999
Richards.ns pos=3527 len=3	&	AnyNode BasicPrimitiveOperation OpArithmetic PrimitiveArgument	int	9999
Richards.ns pos=3527 len=3	&	AnyNode BasicPrimitiveOperation OpArithmetic PrimitiveArgument	TOTAL	9999
Richards.ns pos=3609 len=3	/	AnyNode BasicPrimitiveOperation OpArithmetic	int	5007
Richards.ns pos=3609 len=3	/	AnyNode BasicPrimitiveOperation OpArithmetic	TOTAL	5007
Richards.ns pos=3738 len=3	/	AnyNode BasicPrimitiveOperation OpArithmetic PrimitiveArgument	int	4992
Richards.ns pos=3738 len=3	/	AnyNode BasicPrimitiveOperation OpArithmetic PrimitiveArgument	TOTAL	4992
