Source Identifier	Activation Count
_unknown_>>#`define`cls	1
Json>>#initializer`usingPlatform:andHarness:	1
Json_class>>#new	1
Json>>#`define`cls	1
Json>>#benchmark	1
Json>>#verifyResult:	1
Json_class>>#RapBenchmarkMinified	1
JsonParser>>#with:	1
Json>>#`define`cls	1
JsonParser>>#initializer`with:	1
JsonParser>>#parse	1
JsonParser>>#readValue	3392
JsonParser>>#readArrayElement:	2793
JsonParser>>#readArray	553
JsonParser>>#readObjectKeyValuePair:	598
JsonParser>>#readObject	157
JsonParser>>#readName	598
JsonParser>>#readNull	590
JsonParser>>#readTrue	26
JsonParser>>#readFalse	3
JsonParser>>#readRequiredChar:	1860
JsonParser>>#readString	1351
JsonParser>>#readStringInternal	1949
JsonParser>>#readNumber	712
JsonParser>>#readFraction	712
JsonParser>>#readExponent	712
JsonParser>>#readChar:	10116
JsonParser>>#readDigit	2543
JsonParser>>#skipWhiteSpace	8690
JsonParser>>#read	25821
JsonParser>>#startCapture	2661
JsonParser>>#endCapture	2661
JsonParser>>#isWhiteSpace	8690
JsonParser>>#isDigit	2543
JsonParser>>#isEndOfText	1
HashIndexTable>>#new	157
Json>>#`define`cls	1
HashIndexTable>>#initializer`new	157
HashIndexTable>>#at:put:	598
HashIndexTable>>#at:	3
HashIndexTable>>#hashSlotFor:	601
Json>>#`define`cls	1
JsonArray_class>>#new	553
Json>>#`define`cls	1
JsonArray_class>>#initializer`new	553
JsonArray>>#add:	2793
JsonArray>>#size	1
JsonArray>>#isArray	1
JsonArray>>#asArray	1
JsonLiteral>>#new:	3
Json>>#`define`cls	1
JsonLiteral>>#initializer`new:	3
JsonNumber>>#new:	712
Json>>#`define`cls	1
JsonNumber>>#initializer`new:	712
JsonObject_class>>#new	157
Json>>#`define`cls	1
JsonObject_class>>#initializer`new	157
JsonObject>>#add:with:	598
JsonObject>>#at:	3
JsonObject>>#isObject	2
JsonObject>>#asObject	3
JsonObject>>#indexOf:	3
JsonString>>#new:	1351
Json>>#`define`cls	1
JsonString>>#initializer`new:	1351
Json>>#newInstance	1
Json>>#setupVerifiedRun:	1
Thing>>#value	1803090
Thing>>#,	1
Thing>>#Object	3077
Thing>>#Value	15
Thing>>#kernel	2
Thing>>#ifNil:	30525
Thing>>#println	109
Integer>>#negated	10
Integer>>#asString	1
Integer>>#to:do:	2236316
Integer>>#to:by:do:	2236326
Integer>>#downTo:do:	362200
Integer>>#downTo:by:do:	362200
Integer>>#timesRepeat:	440
Integer>>#λtimesRepeat@233@22:	4280
Integer>>#to:	4
Integer>>#λto@240@26:	28
Integer>>#max:	20160
String>>#asString	109
String>>#asSymbol	22
String>>#hashcode	7228
String>>#print	36
ArrayReadMixin>>#first	10100
ArrayReadMixin>>#last	10100
ArrayReadMixin>>#do:	255807
ArrayReadMixin>>#λdo@450@53:	1943541
ArrayReadMixin>>#doIndexes:	401289
ArrayReadMixin>>#λdoIndexes@452@57:	4624501
ArrayReadMixin>>#from:to:do:	20160
ArrayReadMixin>>#λfromtodo@455@64:	141120
Array>>#putAll:	141275
Array>>#λputAll@519@53:	2554190
Array>>#copyFrom:to:	20160
Array>>#λcopyFromto@526@36:	141120
Array>>#copyFrom:	20160
Array>>#copy	20160
Array_class>>#new:withAll:	141175
Block>>#value	751100
Block>>#on:do:	2001
Kernel>>#`define`cls	1
Vector_class>>#new:	22069
Kernel>>#`define`cls	1
Vector_class>>#initializer`new:	22569
Vector>>#at:	203806
Vector>>#do:	52902
Vector>>#λdo@684@36:	332244
Vector>>#,	34
Vector>>#append:	58533
Vector>>#λλappend@711@40@715@28:	26750
Vector>>#remove:	1000
Vector>>#λremove@741@16:	9300
Vector>>#isEmpty	75500
Vector>>#size	1099
Vector>>#capacity	1000
Vector>>#checkIndex:	203806
Vector>>#removeFirst	30700
Vector>>#sort:to:with:	300
Vector>>#sort:	500
Vector_class>>#new	2168
Vector_class>>#with:	13600
Kernel>>#`define`cls	1
Exception>>#signal	2000
Kernel>>#`define`cls	1
LanguageFeaturesSuite>>#usingPlatform:andHarness:	19
_unknown_>>#`define`cls	19
LanguageFeaturesSuite>>#initializer`usingPlatform:andHarness:	19
Fibonacci_class>>#new	1
LanguageFeaturesSuite>>#`define`cls	1
Fibonacci>>#benchmark	10
Fibonacci>>#fibonacci:	218910
Fibonacci>>#verifyResult:	10
Fibonacci_class>>#newInstance	1
Fibonacci_class>>#setupVerifiedRun:	1
OuterConstLoop_class>>#new	1
LanguageFeaturesSuite>>#`define`cls	1
OuterConstLoop>>#benchmark	10
OuterConstLoop>>#λbenchmark@100@24:	1000000
OuterConstLoop>>#verifyResult:	10
OuterConstLoop_class>>#newInstance	1
OuterConstLoop_class>>#setupVerifiedRun:	1
FieldLoop_class>>#new	1
LanguageFeaturesSuite>>#`define`cls	1
FieldLoop_class>>#initializer`new	1
FieldLoop>>#benchmark	10
FieldLoop>>#verifyResult:	10
FieldLoop_class>>#newInstance	1
FieldLoop_class>>#setupVerifiedRun:	1
FieldWrite_class>>#new	1
LanguageFeaturesSuite>>#`define`cls	1
FieldWrite>>#benchmark	10
FieldWrite>>#λbenchmark@177@23:	200000
FieldWrite>>#verifyResult:	10
FieldWrite_class>>#newInstance	1
FieldWrite_class>>#setupVerifiedRun:	1
IntegerLoop_class>>#new	1
LanguageFeaturesSuite>>#`define`cls	1
