Source Section	Access Type	Data Type	Count
DeltaBlue.ns pos=18718 len=6	read	ALL	7798
DeltaBlue.ns pos=18753 len=12	read	EqualityConstraint	6000
DeltaBlue.ns pos=18753 len=12	read	ScaleConstraint	200
DeltaBlue.ns pos=18753 len=12	read	StayConstraint	300
DeltaBlue.ns pos=18753 len=12	read	Nil	6599
DeltaBlue.ns pos=18753 len=12	read	ALL	13099
DeltaBlue.ns pos=19143 len=8	read	Strength	299
DeltaBlue.ns pos=19143 len=8	read	ALL	299
DeltaBlue.ns pos=19985 len=9	read	Nil	6400
DeltaBlue.ns pos=19985 len=9	read	Symbol	62398
DeltaBlue.ns pos=19985 len=9	read	ALL	68798
DeltaBlue.ns pos=20103 len=2	read	Variable	1999
DeltaBlue.ns pos=20103 len=2	read	ALL	1999
DeltaBlue.ns pos=20133 len=2	read	Variable	1999
DeltaBlue.ns pos=20133 len=2	read	ALL	1999
DeltaBlue.ns pos=20632 len=2	read	Variable	12398
DeltaBlue.ns pos=20632 len=2	read	ALL	12398
DeltaBlue.ns pos=20635 len=4	read	Integer	10199
DeltaBlue.ns pos=20635 len=4	read	ALL	10199
DeltaBlue.ns pos=20692 len=2	read	Variable	2198
DeltaBlue.ns pos=20692 len=2	read	ALL	2198
DeltaBlue.ns pos=20695 len=4	read	Integer	2099
DeltaBlue.ns pos=20695 len=4	read	ALL	2099
DeltaBlue.ns pos=20716 len=8	read	Strength	2198
DeltaBlue.ns pos=20716 len=8	read	ALL	2198
DeltaBlue.ns pos=20735 len=2	read	Variable	2198
DeltaBlue.ns pos=20735 len=2	read	ALL	2198
DeltaBlue.ns pos=20738 len=12	read	Strength	2099
DeltaBlue.ns pos=20738 len=12	read	ALL	2099
DeltaBlue.ns pos=20850 len=2	read	Variable	10198
DeltaBlue.ns pos=20850 len=2	read	ALL	10198
DeltaBlue.ns pos=20853 len=4	read	Integer	8099
DeltaBlue.ns pos=20853 len=4	read	ALL	8099
DeltaBlue.ns pos=20911 len=2	read	Variable	4198
DeltaBlue.ns pos=20911 len=2	read	ALL	4198
DeltaBlue.ns pos=20914 len=4	read	Integer	4099
DeltaBlue.ns pos=20914 len=4	read	ALL	4099
DeltaBlue.ns pos=20935 len=8	read	Strength	4198
DeltaBlue.ns pos=20935 len=8	read	ALL	4198
DeltaBlue.ns pos=20954 len=2	read	Variable	4198
DeltaBlue.ns pos=20954 len=2	read	ALL	4198
DeltaBlue.ns pos=20957 len=12	read	Strength	4099
DeltaBlue.ns pos=20957 len=12	read	ALL	4099
DeltaBlue.ns pos=21149 len=2	read	Variable	5998
DeltaBlue.ns pos=21149 len=2	read	ALL	5998
DeltaBlue.ns pos=21152 len=12	read	Strength	3999
DeltaBlue.ns pos=21152 len=12	read	ALL	3999
DeltaBlue.ns pos=21173 len=2	read	Variable	5998
DeltaBlue.ns pos=21173 len=2	read	ALL	5998
DeltaBlue.ns pos=21176 len=12	read	Strength	3999
DeltaBlue.ns pos=21176 len=12	read	ALL	3999
DeltaBlue.ns pos=21376 len=8	read	Strength	5998
DeltaBlue.ns pos=21376 len=8	read	ALL	5998
DeltaBlue.ns pos=21395 len=2	read	Variable	5998
DeltaBlue.ns pos=21395 len=2	read	ALL	5998
DeltaBlue.ns pos=21398 len=12	read	Strength	3999
DeltaBlue.ns pos=21398 len=12	read	ALL	3999
DeltaBlue.ns pos=21740 len=9	read	Symbol	9999
DeltaBlue.ns pos=21740 len=9	read	ALL	9999
DeltaBlue.ns pos=21794 len=2	read	Variable	5999
DeltaBlue.ns pos=21794 len=2	read	ALL	5999
DeltaBlue.ns pos=21832 len=2	read	Variable	3999
DeltaBlue.ns pos=21832 len=2	read	ALL	3999
DeltaBlue.ns pos=22030 len=9	read	Symbol	95598
DeltaBlue.ns pos=22030 len=9	read	ALL	95598
DeltaBlue.ns pos=22072 len=2	read	Variable	82198
DeltaBlue.ns pos=22072 len=2	read	ALL	82198
DeltaBlue.ns pos=22098 len=2	read	Variable	13398
DeltaBlue.ns pos=22098 len=2	read	ALL	13398
DeltaBlue.ns pos=22351 len=9	read	Symbol	9999
DeltaBlue.ns pos=22351 len=9	read	ALL	9999
DeltaBlue.ns pos=22396 len=2	read	Variable	5999
DeltaBlue.ns pos=22396 len=2	read	ALL	5999
DeltaBlue.ns pos=22406 len=2	read	Variable	5999
DeltaBlue.ns pos=22406 len=2	read	ALL	5999
DeltaBlue.ns pos=22435 len=2	read	Variable	3999
DeltaBlue.ns pos=22435 len=2	read	ALL	3999
DeltaBlue.ns pos=22445 len=2	read	Variable	3999
