Name	Executed	Execution Count
Method(Double>>#PositiveInfinity)	false	0
Method(Double>>#abs)	false	0
Method(Double>>#asInteger)	false	0
Method(Double>>#asString)	false	0
Method(Double>>#between:and:)	false	0
Method(Double>>#cos)	false	0
Method(Double>>#downTo:do:)	false	0
Method(Double>>#exp)	false	0
Method(Double>>#log)	false	0
Method(Double>>#negated)	false	0
Method(Double>>#negative)	false	0
Method(Double>>#pow:)	false	0
Method(Double>>#round)	false	0
Method(Double>>#sin)	false	0
Method(Double>>#sqrt)	false	0
Method(Double>>#to:do:)	false	0
Method(EditConstraint>>#execute)	true	14000
Method(EditConstraint>>#isInput)	true	1000
Method(Entry>>#match:key:)	true	7114
Method(EqualityConstraint>>#execute)	true	208000
Method(Exception>>#signal)	true	2000
Method(Exception>>#signal)	false	0
Method(Exceptions>>#benchmark)	true	10
Method(Exceptions>>#first:)	true	2000
Method(Exceptions>>#newInstance)	true	1
Method(Exceptions>>#second:)	true	2000
Method(Exceptions>>#setupVerifiedRun:)	true	1
Method(Exceptions>>#third:)	true	2000
Method(Exceptions>>#throw)	true	2000
Method(Exceptions>>#verifyResult:)	true	10
Method(ExternalInputStream>>#actualAtEnd)	false	0
Method(ExternalInputStream>>#actualNext)	false	0
Method(ExternalInputStream>>#atEnd)	false	0
Method(ExternalInputStream>>#close)	false	0
Method(ExternalInputStream>>#fillBuffer)	false	0
Method(ExternalInputStream>>#initDescriptor:)	false	0
Method(ExternalInputStream>>#newCollectionOfSize:)	false	0
Method(ExternalInputStream>>#next)	false	0
Method(ExternalInputStream>>#peek)	false	0
Method(ExternalInputStream>>#peekIfAbsent:)	false	0
Method(ExternalOutputStream>>#advanceBufferLocation)	false	0
Method(ExternalOutputStream>>#close)	false	0
Method(ExternalOutputStream>>#externalFlush)	false	0
Method(ExternalOutputStream>>#flush)	false	0
Method(ExternalOutputStream>>#next:put:)	false	0
Method(ExternalOutputStream>>#onDescriptor:)	false	0
Method(ExternalOutputStream>>#put:)	false	0
Method(ExternalOutputStream>>#putAll:)	false	0
Method(ExternalOutputStream>>#updateBufferLocationAfterFlush)	false	0
Method(ExternalOutputStream>>#writeBuffer)	false	0
Method(ExternalReadStream>>#actualAtEnd)	false	0
Method(ExternalReadStream>>#actualPosition)	false	0
Method(ExternalReadStream>>#actualPosition:)	false	0
Method(ExternalReadStream>>#at:)	false	0
Method(ExternalReadStream>>#goodBufferOriginForPosition:)	false	0
